Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
1000449742,https://www.unibet.com.au/betting/sports/filter/football/colombia/liga_betplay_dimayor,Liga Dimayor,https://www.fotmob.com/leagues/274,Primera A,Different Name,Colombia
2000050211,https://www.unibet.com.au/betting/sports/filter/football/colombia/copa_betplay_dimayor,Copa Dimayor,https://www.fotmob.com/leagues/9490,Copa Colombia,Different Name,Colombia
2000095699,https://www.unibet.com.au/betting/sports/filter/football/indonesia/liga_1,Liga 1,https://www.fotmob.com/leagues/8983,Liga 1,Exact Match,Indonesia
2000050580,https://www.unibet.com.au/betting/sports/filter/football/jordan/premier_league,Premier League,https://www.fotmob.com/leagues/524,Stars League,Different Name,Jordan
1000157714,https://www.unibet.com.au/betting/sports/filter/football/lithuania/a_lyga,A Lyga,https://www.fotmob.com/leagues/228,A Lyga,Exact Match,Lithuania
2000050115,https://www.unibet.com.au/betting/sports/filter/football/paraguay/primera_paraguay,Primera Paraguay,https://www.fotmob.com/leagues/199,Division Profesional,Different Name,Paraguay
1000237680,https://www.unibet.com.au/betting/sports/filter/football/peru/liga_1,Liga 1,https://www.fotmob.com/leagues/131,Liga 1,Exact Match,Peru
2000054001,https://www.unibet.com.au/betting/sports/filter/football/qatar/qatar_stars_league,Qatar Stars League,https://www.fotmob.com/leagues/535,Qatar Stars League,Exact Match,Qatar
1000095499,https://www.unibet.com.au/betting/sports/filter/football/romania/liga_i,Liga I,https://www.fotmob.com/leagues/189,Liga I,Exact Match,Romania
1000250591,https://www.unibet.com.au/betting/sports/filter/football/saudi_arabia/professional_league,Professional League,https://www.fotmob.com/leagues/536,Saudi Pro League,Different Name,Saudi Arabia
2000050599,https://www.unibet.com.au/betting/sports/filter/football/serbia/super_liga,Super Liga,https://www.fotmob.com/leagues/182,Super Liga,Exact Match,Serbia
2000051365,https://www.unibet.com.au/betting/sports/filter/football/slovakia/2__liga,2. Liga,https://www.fotmob.com/leagues/176,1. liga,Different Name,Slovakia
,https://www.unibet.com.au/betting/sports/filter/football/slovakia/3__liga,3. Liga,https://www.fotmob.com/leagues/8973,2. Liga,Different Name,Slovakia
1000297434,https://www.unibet.com.au/betting/sports/filter/football/slovenia/prva_liga,Prva Liga,https://www.fotmob.com/leagues/173,Prva Liga,Exact Match,Slovenia
1000250636,https://www.unibet.com.au/betting/sports/filter/football/south_africa/sa_premier_soccer_league,SA Premier Soccer League,https://www.fotmob.com/leagues/537,Premier Soccer League,Different Name,South Africa
2000053119,https://www.unibet.com.au/betting/sports/filter/football/tunisia/ligue_1,Ligue 1,https://www.fotmob.com/leagues/544,Ligue I,Different Name,Tunisia
1000171537,https://www.unibet.com.au/betting/sports/filter/football/ukraine/premier_league,Premier League,https://www.fotmob.com/leagues/441,Premier League,Exact Match,Ukraine
1000450453,https://www.unibet.com.au/betting/sports/filter/football/uruguay/campeonato_uruguayo,Campeonato Uruguayo,https://www.fotmob.com/leagues/161,Primera Division,Different Name,Uruguay
2000056865,https://www.unibet.com.au/betting/sports/filter/football/uruguay/segunda_division,Segunda Division,https://www.fotmob.com/leagues/9122,Segunda Division,Exact Match,Uruguay
2010203832,https://www.unibet.com.au/betting/sports/filter/football/afc_champions_league_2,AFC Champions League 2,https://www.fotmob.com/leagues/9469,AFC Champions League Two,Exact Match,International
2000051195,https://www.unibet.com.au/betting/sports/filter/football/europa_league,Europa League,https://www.fotmob.com/leagues/73,Europa League,Exact Match,International
2000121299,https://www.unibet.com.au/betting/sports/filter/football/caf_champions_league_qualification,CAF Champions League Qualification,https://www.fotmob.com/leagues/10619,CAF Champions League Qualification,Exact Match,International
2000130522,https://www.unibet.com.au/betting/sports/filter/football/conference_league,Conference League,https://www.fotmob.com/leagues/10216,Conference League,Exact Match,International
2010133908,https://www.unibet.com.au/betting/sports/filter/football/world_cup_2026,World Cup 2026,https://www.fotmob.com/leagues/77,World Cup,Different Name,International
2000086372,https://www.unibet.com.au/betting/sports/filter/football/world_cup_qualifying_-_europe,World Cup Qualifying - Europe,https://www.fotmob.com/leagues/10195,World Cup Qualification UEFA,Different Name,International
2000086367,https://www.unibet.com.au/betting/sports/filter/football/world_cup_qualifying_-_asia,World Cup Qualifying - Asia,https://www.fotmob.com/leagues/10195,World Cup Qualification UEFA,Different Name,International
2000086368,https://www.unibet.com.au/betting/sports/filter/football/world_cup_qualifying_-_asia,World Cup Qualifying - Africa,https://www.fotmob.com/leagues/10195,World Cup Qualification UEFA,Different Name,International
2000052332,https://www.unibet.com.au/betting/sports/filter/football/argentina/primera_b_metropolitana,Primera B Metropolitana,https://www.fotmob.com/leagues/9213,Primera B Metropolitana & Torneo Federal A,Different Name,Argentina
2000057542,https://www.unibet.com.au/betting/sports/filter/football/bosnia___herzegovina/prva_liga,Prva Liga,https://www.fotmob.com/leagues/173,Prva Liga,Exact Match,Bosnia-Herzegovina
1000095736,https://www.unibet.com.au/betting/sports/filter/football/croatia/1__hnl_league,1. HNL League,https://www.fotmob.com/leagues/252,HNL,Different Name,Croatia
2000117732,https://www.unibet.com.au/betting/sports/filter/football/ecuador/copa_ecuador,Copa Ecuador,https://www.fotmob.com/leagues/10046,Copa Ecuador,Exact Match,Ecuador
