Unibet_ID,Unibet_Name,Fotmob_ID,Fotmob_Name,Match_Type,Country/Region,Is_Verified
2000127579,"Segunda RFEF 5",9138,"Segunda Federación",Different Name,Spain
2000054642,"Isthmian League Premier Division",8947,"Isthmian Premier Division",Different Name,England
2000050126,"National League North",8944,"National League North",Exact Match,England
2000052846,"Southern League Premier Division",8947,"Southern Premier Division Central",Different Name,England
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
1000094816,"Segunda RFEF 1",9138,"Segunda Federación",Different Name,Spain
1000094817,"Segunda RFEF 2",9138,"Segunda Federación",Different Name,Spain
1000094819,"Segunda RFEF 4",9138,"Segunda Federación",Different Name,Spain
2000127579,"Segunda RFEF 5",9138,"Segunda Federación",Different Name,Spain
2000050126,"National League North",8944,"National League North",Exact Match,England
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
1000094816,"Segunda RFEF 1",9138,"Segunda Federación",Different Name,Spain
1000094817,"Segunda RFEF 2",9138,"Segunda Federación",Different Name,Spain
1000094819,"Segunda RFEF 4",9138,"Segunda Federación",Different Name,Spain
2000127579,"Segunda RFEF 5",9138,"Segunda Federación",Different Name,Spain
2000054294,"Stars Cup",11017,"QSL Cup",Different Name,Qatar
2000052394,"Premier League",262,"Premier League",Exact Match,Azerbaijan
2000118737,"CAF Champions League",526,"CAF Champions League",Exact Match,International
2000057058,"Torneo Dimayor",9125,"Primera B Apertura",Different Name,Colombia
1000094997,"NB 1",212,"NB I",Different Name,Hungary
2000050420,"Division 1",10721,"Saudi First Division",Different Name,Saudi Arabia
