Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region,Is_Verified
2000075204,https://www.unibet.com.au/betting/sports/filter/football/sweden/elitettan__w_,Elitettan (W),https://www.fotmob.com/leagues/10308,Eliteettan (W),Different Name,Sweden,false
2000076226,https://www.unibet.com.au/betting/sports/filter/football/thailand/thai_league_2,Thai League 2,https://www.fotmob.com/leagues/9498,Thai League 2,Exact Match,Thailand,true
2000077426,https://www.unibet.com.au/betting/sports/filter/football/europa_league_qualification,Europa League Qualification,https://www.fotmob.com/leagues/10613,Europa League Qualification,Exact Match,International,false
2000077607,https://www.unibet.com.au/betting/sports/filter/football/poland/ii_liga,II Liga,https://www.fotmob.com/leagues/8935,2. Division,Different Name,Poland,false
2000079607,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_c_girone_a,Serie C Girone A,https://www.fotmob.com/leagues/147,Serie C,Different Name,Italy,true
2000080468,https://www.unibet.com.au/betting/sports/filter/football/england/the_championship_parenplaceholder0,The Championship (W),https://www.fotmob.com/leagues/9294,WSL 2,Different Name,England,true
2000086372,https://www.unibet.com.au/betting/sports/filter/football/world_cup_qualifying_-_europe,World Cup Qualifying - Europe,https://www.fotmob.com/leagues/10195,World Cup Qualification UEFA,Different Name,International,false
2000087788,https://www.unibet.com.au/betting/sports/filter/football/argentina/torneo_federal_a,Torneo Federal A,https://www.fotmob.com/leagues/9213,Primera B Metropolitana & Torneo Federal A,Different Name,Argentina,false
2000095410,https://www.unibet.com.au/betting/sports/filter/football/netherlands/tweede_divisie,Tweede Divisie,https://www.fotmob.com/leagues/9195,Tweede Divisie,Exact Match,Netherlands,true
2000095699,https://www.unibet.com.au/betting/sports/filter/football/indonesia/liga_1,Liga 1,https://www.fotmob.com/leagues/8983,Super League,Different Name,Indonesia,true
2000095935,https://www.unibet.com.au/betting/sports/filter/football/romania/liga_ii,Liga II,https://www.fotmob.com/leagues/9113,Liga II,Exact Match,Romania,false
2000096351,https://www.unibet.com.au/betting/sports/filter/football/england/premier_league_2_u21_parenplaceholder0,Premier League 2 U21 (Division 1),https://www.fotmob.com/leagues/9084,Premier League 2,Different Name,England,true
2000109034,https://www.unibet.com.au/betting/sports/filter/football/mexico/liga_mx_femenil__w_,Liga MX Femenil (W),https://www.fotmob.com/leagues/9906,Liga MX Femenil,Different Name,Mexico,false
2000116433,https://www.unibet.com.au/betting/sports/filter/football/paraguay/copa_paraguay,Copa Paraguay,https://www.fotmob.com/leagues/10230,Copa Paraguay,Exact Match,Paraguay,false
